ParkName,Month,High/Low,Temp (F),Precipitation
Great Smoky Mountains,Jan,High,51,"4.8"""
Great Smoky Mountains,Feb,High,54,"4.8"""
Great Smoky Mountains,Mar,High,61,"5.3"""
Great Smoky Mountains,Apr,High,71,"4.5"""
Great Smoky Mountains,May,High,79,"4.5"""
Great Smoky Mountains,Jun,High,86,"5.2"""
Great Smoky Mountains,Jul,High,88,"5.7"""
Great Smoky Mountains,Aug,High,87,"5.3"""
Great Smoky Mountains,Sep,High,83,"3.0"""
Great Smoky Mountains,Oct,High,73,"3.1"""
Great Smoky Mountains,Nov,High,61,"3.4"""
Great Smoky Mountains,Dec,High,52,"4.5"""
Zion,Jan,High,54,"1.8"""
Zion,Feb,High,59,"2.0"""
Zion,Mar,High,66,"2.0"""
Zion,Apr,High,75,"1.3"""
Zion,May,High,86,"0.7"""
Zion,Jun,High,95,"0.3"""
Zion,Jul,High,100,"1.2"""
Zion,Aug,High,99,"1.5"""
Zion,Sep,High,91,"1.0"""
Zion,Oct,High,79,"1.3"""
Zion,Nov,High,64,"1.4"""
Zion,Dec,High,54,"1.6"""
Yellowstone,Jan,High,28.6,"1.1"""
Yellowstone,Feb,High,34,"0.75"""
Yellowstone,Mar,High,39.6,"1.1"""
Yellowstone,Apr,High,49.4,"1.2"""
Yellowstone,May,High,60.4,"2"""
Yellowstone,Jun,High,70,"1.5"""
Yellowstone,Jul,High,79.6,"1.5"""
Yellowstone,Aug,High,78.3,"1.4"""
Yellowstone,Sep,High,67.8,"1.3"""
Yellowstone,Oct,High,55.7,"1"""
Yellowstone,Nov,High,38.7,"1"""
Yellowstone,Dec,High,30.5,"1"""
Grand Canyon,Jan,High,41,"1.32"""
Grand Canyon,Feb,High,45,"1.55"""
Grand Canyon,Mar,High,51,"1.38"""
Grand Canyon,Apr,High,60,"0.93"""
Grand Canyon,May,High,70,"0.66"""
Grand Canyon,Jun,High,81,"0.42"""
Grand Canyon,Jul,High,84,"1.81"""
Grand Canyon,Aug,High,82,"2.25"""
Grand Canyon,Sep,High,76,"1.56"""
Grand Canyon,Oct,High,65,"1.1"""
Grand Canyon,Nov,High,52,"0.94"""
Grand Canyon,Dec,High,43,"1.64"""
Rocky Mountain,Jan,High,39,"0.37"""
Rocky Mountain,Feb,High,41,"0.45"""
Rocky Mountain,Mar,High,45,"0.86"""
Rocky Mountain,Apr,High,53,"1.28"""
Rocky Mountain,May,High,62,"2.02"""
Rocky Mountain,Jun,High,73,"1.76"""
Rocky Mountain,Jul,High,78,"2.21"""
Rocky Mountain,Aug,High,77,"1.86"""
Rocky Mountain,Sep,High,70,"1.17"""
Rocky Mountain,Oct,High,60,"0.81"""
Rocky Mountain,Nov,High,46,"0.60"""
Rocky Mountain,Dec,High,40,"0.47"""
Acadia,Jan,High,32,"4.92"""
Acadia,Feb,High,34,"4.33"""
Acadia,Mar,High,42,"5.39"""
Acadia,Apr,High,53,"4.76"""
Acadia,May,High,65,"4.65"""
Acadia,Jun,High,74,"4.13"""
Acadia,Jul,High,80,"3.50"""
Acadia,Aug,High,78,"3.31"""
Acadia,Sep,High,69,"4.45"""
Acadia,Oct,High,58,"5.31"""
Acadia,Nov,High,47,"6.46"""
Acadia,Dec,High,37,"5.47"""
